c1_ls,c2_ls,result_dir,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
1e-3,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.4,112,100,12,85,0.85,60.576470588235296,485.54117647058825,362.2,120.03529411764706,3.3058823529411763
1e-2,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.4,112,100,12,85,0.85,60.63529411764706,485.7529411764706,362.54117647058825,119.90588235294118,3.3058823529411763
3e-4,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.4,112,100,12,85,0.85,61.31764705882353,488.0705882352941,363.94117647058823,120.82352941176471,3.3058823529411763
1e-4,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.4,112,100,12,85,0.85,61.32941176470588,488.16470588235296,363.98823529411766,120.87058823529412,3.3058823529411763
3e-5,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.4,112,100,12,85,0.85,61.423529411764704,488.61176470588236,364.3058823529412,121.0,3.3058823529411763
1e-5,0.4,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.4,112,100,12,85,0.85,61.44705882352941,488.7294117647059,364.4,121.02352941176471,3.3058823529411763
1e-3,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.1,112,99,13,82,0.8282828282828283,52.0609756097561,522.2560975609756,404.4024390243902,114.82926829268293,3.024390243902439
1e-3,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.2,112,100,12,82,0.82,51.75609756097561,438.6219512195122,322.9146341463415,112.67073170731707,3.0365853658536586
1e-2,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.2,112,100,12,82,0.82,51.81707317073171,439.0,323.2682926829268,112.6951219512195,3.0365853658536586
1e-2,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.1,112,100,12,82,0.82,52.1219512195122,475.8048780487805,358.4878048780488,114.29268292682927,3.024390243902439
3e-4,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.2,112,100,12,82,0.82,52.52439024390244,441.2682926829268,324.719512195122,113.51219512195122,3.0365853658536586
1e-4,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.2,112,100,12,82,0.82,52.53658536585366,441.3292682926829,324.7682926829268,113.52439024390245,3.0365853658536586
3e-5,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.2,112,100,12,82,0.82,52.63414634146341,441.7926829268293,325.0975609756098,113.65853658536585,3.0365853658536586
1e-5,0.2,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.2,112,100,12,82,0.82,52.65853658536585,441.9146341463415,325.1951219512195,113.6829268292683,3.0365853658536586
3e-4,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.1,112,100,12,82,0.82,52.829268292682926,478.1585365853659,359.9390243902439,115.1951219512195,3.024390243902439
1e-4,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.1,112,100,12,82,0.82,52.84146341463415,478.2317073170732,359.9878048780488,115.21951219512195,3.024390243902439
3e-5,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.1,112,100,12,82,0.82,52.9390243902439,478.6951219512195,360.3170731707317,115.35365853658537,3.024390243902439
1e-5,0.1,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.1,112,100,12,82,0.82,52.96341463414634,478.8170731707317,360.4146341463415,115.3780487804878,3.024390243902439
1e-3,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.9,112,100,12,82,0.82,67.53658536585365,411.280487804878,301.0609756097561,106.46341463414635,3.7560975609756095
1e-2,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.9,112,100,12,82,0.82,67.59756097560975,411.5243902439024,301.4146341463415,106.35365853658537,3.7560975609756095
3e-4,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.9,112,100,12,82,0.82,68.3048780487805,413.9146341463415,302.8658536585366,107.29268292682927,3.7560975609756095
1e-4,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.9,112,100,12,82,0.82,68.3170731707317,413.9756097560976,302.9146341463415,107.3048780487805,3.7560975609756095
3e-5,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.9,112,100,12,82,0.82,68.41463414634147,414.4390243902439,303.2439024390244,107.4390243902439,3.7560975609756095
1e-5,0.9,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.9,112,100,12,82,0.82,68.4390243902439,414.5609756097561,303.3414634146341,107.46341463414635,3.7560975609756095
1e-2,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.8,112,100,12,82,0.82,73.65853658536585,481.2682926829268,336.1463414634146,141.5,3.6219512195121952
1e-3,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.8,112,100,12,82,0.82,73.65853658536585,481.6585365853659,336.2073170731707,141.82926829268294,3.6219512195121952
3e-4,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.8,112,100,12,82,0.82,74.42682926829268,484.280487804878,338.0121951219512,142.64634146341464,3.6219512195121952
1e-4,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.8,112,100,12,82,0.82,74.4390243902439,484.3414634146341,338.0609756097561,142.65853658536585,3.6219512195121952
3e-5,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.8,112,100,12,82,0.82,74.53658536585365,484.8048780487805,338.390243902439,142.79268292682926,3.6219512195121952
1e-5,0.8,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.8,112,100,12,82,0.82,74.5609756097561,484.9268292682927,338.4878048780488,142.8170731707317,3.6219512195121952
1e-3,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-3_c2ls_0.6,112,100,12,82,0.82,75.2560975609756,594.6829268292682,439.2682926829268,152.0609756097561,3.3536585365853657
1e-2,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-2_c2ls_0.6,112,100,12,82,0.82,75.3170731707317,594.829268292683,439.6219512195122,151.85365853658536,3.3536585365853657
3e-4,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-4_c2ls_0.6,112,100,12,82,0.82,76.02439024390245,597.2926829268292,441.0731707317073,152.8658536585366,3.3536585365853657
1e-4,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-4_c2ls_0.6,112,100,12,82,0.82,76.03658536585365,597.3536585365854,441.1219512195122,152.8780487804878,3.3536585365853657
3e-5,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_3e-5_c2ls_0.6,112,100,12,82,0.82,76.13414634146342,597.829268292683,441.4512195121951,153.02439024390245,3.3536585365853657
1e-5,0.6,/home/henry/511_project/parameter_sweeps_20260419_135531/ls/results_c1ls_1e-5_c2ls_0.6,112,100,12,82,0.82,76.15853658536585,597.9512195121952,441.5487804878049,153.0487804878049,3.3536585365853657
